id,label
3037,-1841.4459121247255
1760,-222.7066053025075
4212,1361.2470300400123
1552,-336.2249159550026
4020,-1900.3321287267197
3205,-1332.3485480661443
4444,2397.842267799156
3661,4411.741292048907
2581,-590.0163665250365
3453,-2759.4109731563517
1304,5258.239701471807
4676,3888.4348279605915
2924,2677.4602105447284
2118,-2993.056076348837
4815,-388.06631450107164
4029,-2185.63934604837
3802,-1380.335125681543
1769,-139.66962269625492
2588,-2689.2558380958963
1903,-240.2349231533539
3668,1326.314841069135
2127,3504.805111565058
2315,2462.8035742839666
1590,-2553.975825420133
5130,5804.978331304304
2771,-1625.896910546411
4486,323.17211661123997
3491,-4080.441183314731
2543,1085.8961488155226
3657,4426.148990003922
2785,-724.5959340746492
4472,3116.5346367472985
1332,2066.543140441673
4640,3193.3155055144557
3465,-3481.4063328832854
1756,-88.82814344926129
4224,1683.7580455098375
3001,164.53183239216605
3233,3864.4956241934087
1564,-4412.6284310316905
4016,-2055.428016697283
1904,2253.5393165420296
4678,4534.775294705042
3805,-1509.9250251709946
3039,-2554.5128209494114
4812,-432.5190425263637
2923,1420.3823387404882
5108,1115.6063383969997
2749,4152.21301258522
3234,72.09337613420865
1563,-3497.331130795995
4011,-4784.288092953493
1751,-1902.7074190943076
4223,2473.8698321204856
3006,-1665.2743713150123
1335,-74.39003475566122
4647,780.2691872021464
3462,-3342.168432094972
3650,535.3013965783938
2782,469.6839134214939
4475,826.7699390629923
3496,-2293.5815969562577
2544,-981.8743220434471
2776,1003.8756368873959
4481,3411.227185337835
2312,-188.13810332039543
1597,-863.9532072029375
5137,4637.892104077385
2120,2117.0947738560903
2180,-3364.99800988592
3052,-1770.2833429783598
4277,4449.495796315965
1705,-1159.2711178461032
4045,-3429.6982499781343
5197,-1527.049136344303
4879,-793.0284493537613
1537,-1827.6648606411127
3260,877.3728265113571
4421,-624.4048118393812
3604,413.48878759234304
3436,-3234.679912072535
4613,-2128.6199651782604
1361,2291.8941476048503
2722,1060.449815388421
2510,361.6462537924999
1395,-267.5110729479267
2174,-1156.8290900135719
2948,1735.103905900787
4283,4550.016853867539
5163,-356.9163220730737
2346,-432.44044485153296
3294,-191.10878926164298
3409,3177.401209369398
1950,930.7289497756159
4846,-1173.4009591149143
1508,3249.311378457563
4248,19.14463167423343
2983,1781.0238244092138
3851,-4354.777624908824
2379,-354.4539169801708
3099,92.1759334689724
2977,-1114.5691991002482
5164,298.64523680928335
2341,-2197.00132925327
3293,7843.453077813377
2173,157.56752193687097
4284,4101.342677194002
2517,-386.96960499922227
1392,1274.1366372546727
2725,-1535.0074918281648
3431,-3360.509655825454
4614,189.48013193454995
1366,407.28038842135095
1968,-213.20111755360472
4426,-213.2480671597471
3603,-550.6452314202725
4042,-2771.088133689541
5190,-2730.289663814084
1530,-2089.144559092657
3267,-1183.5356454312346
2187,-2352.561264699797
3055,-5938.577626699025
3869,-5376.121447311337
4270,3306.5027784253307
1702,-1003.2767707708355
2528,455.1340557077018
2970,2455.1922628906477
4089,-1690.5034925459615
2984,-1218.2670892950139
3856,-3547.002645087321
3258,3270.7173455027905
4841,-2789.3512574850943
1957,3272.4055129327426
4419,338.4937093413194
1359,-607.257394516278
2521,-501.25306817429686
2713,613.5703523082345
2377,730.3133566463925
5152,-1928.2749140611822
4080,-3160.0350566422308
3097,-1330.3291889843272
2145,3277.3172193874548
2979,-975.3031916099816
3251,3051.4969651983397
2383,-608.3968536924287
4074,-3513.372576329443
1506,1484.6306343278272
4848,-2279.1538017598555
4246,560.2072056825413
1734,-1203.104854592598
3063,-3409.9431362165246
4622,3068.2005895725397
1350,2174.257640838703
3407,3294.2241104532677
3635,1196.4402961082744
4410,2937.529597822833
3894,-5177.092610907072
2946,-982.7971609916304
4883,-1379.8715867233298
2348,-2214.0381767423814
1995,-2348.3052465599644
1961,4555.929285123105
3438,-3493.03610118878
3860,-6753.41898922346
4279,2054.3614584928296
5199,-479.1181167403039
1539,-1116.4928076272909
4877,-517.7387581487055
3632,3787.056876542433
4417,3149.5583713185224
1959,2269.2593413462687
4625,-867.5880515716001
1357,8.37310972779381
3400,3292.381189914791
4241,4365.682182684454
1733,1487.0227533347665
3064,170.2417697578444
3858,-3419.21744920096
3256,-3502.3306018774283
2384,982.4605616688657
4073,2903.0150429380324
1501,1670.580062030194
3090,2834.205179059073
2142,2679.8542729125866
2370,1591.071913350689
5155,-4657.4777684626915
4087,-528.7250527276516
